FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
index.html,https://orca-app-aznfk.ondigitalocean.app/index.html,,61,200,1522,66,5,text/html; charset=utf-8,383.403314ms,,db80a3d
favicon.ico,https://orca-app-aznfk.ondigitalocean.app/favicon.ico,,102,200,15086,18,7,image/vnd.microsoft.icon,562.912684ms,,db80a66
.,https://orca-app-aznfk.ondigitalocean.app/.,,371,200,1522,66,5,text/html; charset=utf-8,390.725848ms,,db80a173
